"","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews_ltm","review_scores_rating","review_scores_cleanliness","review_scores_location","review_scores_value","Post_20_reviews"
"49",100,83,"f",2,"t","Queens","Entire home/apt",6,1,2,3,657.770212765957,195,62,2,31,94,10,9,9,"0"
"50",100,99,"t",3,"t","Brooklyn","Entire home/apt",6,1,2,3,657.770212765957,350,175,1,44,97,10,10,10,"1"
"51",100,83,"f",2,"f","Brooklyn","Private room",2,1.5,1,1,657.770212765957,115,75.4034656056957,2,0,100,10,10,10,"0"
"52",100,22,"f",1,"f","Brooklyn","Entire home/apt",4,1,2,2,657.770212765957,140,0,2,0,100,10,10,10,"0"
"53",100,96,"t",14,"f","Brooklyn","Entire home/apt",4,1,0,2,657.770212765957,299,75.4034656056957,3,5,97,10,9,10,"0"
"54",100,91,"t",3,"t","Manhattan","Private room",2,1,1,1,657.770212765957,110,60,3,28,97,10,10,10,"1"
"55",100,100,"f",3,"t","Manhattan","Private room",2,1,1,1,657.770212765957,60,25,1,52,92,9,10,9,"0"
"56",100,100,"f",3,"t","Manhattan","Private room",2,1,1,2,657.770212765957,60,25,1,47,95,9,10,10,"0"
"57",100,39,"f",3,"f","Manhattan","Private room",2,1,1,1,657.770212765957,587,75.4034656056957,1,14,100,10,10,10,"0"
"58",88,97,"t",1,"f","Manhattan","Entire home/apt",2,1,1,1,657.770212765957,175,85,3,37,96,9,10,9,"0"
"59",100,55,"f",9,"f","Manhattan","Entire home/apt",3,1,1,1,657.770212765957,120,125,30,0,100,10,10,8,"0"
"60",89.3037155669443,84,"f",1,"t","Brooklyn","Entire home/apt",6,1,3,3,657.770212765957,325,175,4,10,97,10,10,10,"0"
"61",100,94,"t",2,"t","Brooklyn","Entire home/apt",4,1.5,2,4,657.770212765957,350,120,3,6,100,10,10,10,"0"
"62",50,60,"f",2,"f","Brooklyn","Private room",2,1,1,1,657.770212765957,206,75.4034656056957,1,0,100,10,10,10,"0"
